projectID,Project Status,Project Title,Project Start Date,Project End Date,Project Intensity,Description: ,Funding Type,Contract Status,Link to Project Folder,Project Synopsis Link,Methodology,Link to Digital Well ( Digital Copy?),Location on shelves (Paper Copy?),Non-public Report Link
98,Current Project,Exploring Rural Housing,2015-10-26,2016-06-30,High,"There has been a lot of conversation around rural housing issues among rural development leaders. This topic includes a wide range of issues, from dilapidated housing, workforce housing, to assisted living facilities. The importance of this topic is it's link to so many community and economic development strategies and challenges. Over the course of the FY16 school year, CST will explore this topic in more detail.",Bremer Grant,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6cUNlMHAweDVDT2c,,Data Analysis and Research,,,
99,Current Project,"U of Minnesota, Extension - Data Entry",2014-09-01,2016-06-30,Low,"This is an ongoing Internal Sale CST has had with University of Minnesota, Extension to assist them with data entry and simple analysis for their internal evaulation program and other survey related projects.",Internal sale,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspZ0d3VjVyeTByNHM,,Data Analysis and Research,,,
100,Current Project,Positively Pope - Housing Survey,2015-05-18,2016-06-30,Medium,"Positively Pope is a group consisting of leaders throughout Pope County focused on county-wide economic and community development. They are working with Ryan Pesch, University of Minnesota Extension Educator, on gathering information about employee and employer housing needs in the region. Information will be gathered through interviews and the development of an instrument which will be distributed through chosen businesses in the region. ",WCI Grant,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6dF9uWTlMazBsQjQ,https://docs.google.com/document/d/1DT-YOBEUPeyy1r4ux5RcbVIf06PtPbOOgppeUNLv8ls/edit#,Data Analysis and Research,,,
101,Current Project,2016 Symposium on Small Towns Planning,2015-09-01,2016-06-30,Medium,The Center for Small Towns hosts a large convening event each June focused on rural development issues. The tentative theme for summer 2016 is housing. ,,Completed,https://drive.google.com/drive/u/1/folders/0BwE2_aJH-4-hV3NDeHNyRk1ZNlU,https://drive.google.com/open?id=1ypEtlckBM-GZZWJzMgl5xZhdxyOOhbDgFqEOg7TnQe0,Convening,,,
102,Current Project,Great Plains Webinar,2015-11-02,2016-06-30,Low,"The Center for Small Towns is partnered with U of Nebraska, Sam Houston State University, U of MN Extension and other to produce a webinar series focused on positive trends impacting the Great Plains states from Minnesota to Texas. The Center for Small Towns will assist in the planning of the series and will lead one session focused on Babe Boomers and the Rural Housing Supply.",None Needed,,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6VGlQSXR1LWNqeDg,https://drive.google.com/open?id=0B14UrYEk1sV6S2RQOHR6aGV3bFJfMUtuVTZhcFNjWlBvSWJz,Convening,,,
103,Current Project,Editors and Publishers Community Leadership Program,2016-04-15,2016-06-30,Medium,The Minnesota Newspaper Association's Editors and Publishers Leadership program is designed to strengthen rural communities by developing leadership skills among local newspaper editors and publishers. The goal of the program is to apply the program's competencies (Life-Long Learning Economic opportunity infrastructure and services environmental stewardship community leadership safety and security spiritual cultural and recreational opportunities,"Michael Peterson, Brett Hucka, Brian Holte, James Carr, Daron Zych, Sarah Thiede, Zach Threadgill, Amanda Decker, James Gambrell, Kim Ukura, Brent Bemis, Joe Feely, Samantha Bruno, Cory Holton, Katrina Flaig, Brianca Smith, Madison Hughes, Natasha Miller",,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B14UrYEk1sV6UllySE9FNERsS1k,https://docs.google.com/document/d/1O15zmjHwJz1pxRm2c-LKKOf06L-0AL7bfZx9uA_Vl7E/edit,Last years files are located on the google drive in the 2014 project year folder,,
104,Completed Project,CST Research - Housing Incentive Scan,2015-01-01,"CST Research - Housing Incentive Scan
",High,"Today, housing is a hot topic. Anecdotal evidence shows that employers are having difficult times locating employees in a community and the potential newcomers may be unable to locate a home. While there are sporadic attempts to recruit new residents through residential incentives, it is generally uncharted territory on which communities are offering which incentives, and how these are promoted. This project is an effort to gather information on what types of incentives municipal governments are offering regarding housing.","Bremer, funded by external sales",,https://drive.google.com/drive/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6RkdqSjZDdFliRVE,https://docs.google.com/a/morris.umn.edu/document/d/1NnK0Ir0FnEtHSuitbXUz2tALYsJJEIhkvl5w0BYQyM8/edit#heading=h.gjdgxs,Data Analysis and Research,,,
105,Completed Project, Tech Team: PhP and SQL Programming ,\N,,,The responsibility of these student included: developing a website using PhP and SQL programming. ,,Completed,,,Data Analysis and Research ,,,
106,Completed Project,Agralite Electric Cooperative Co-op Connections Card,\N,,,The purposes of this project was to recruit businesses to participate in Co-op Connections discount program and the student involved was to assist in this as well as market the program to businesses and Agralite members. ,External Sale,Completed,,,"Data Analysis and Research, Community Support ",,,
107,Completed Project,Agrilite,\N,,,,External Sale,Completed,,,Community Support,,,
108,Completed Project,Americorps Assistant,\N,,,This project involved data analysis making/developing future reccomendations business separation writing a business booklet idea generation and business searches. ,,Completed,,,Data Analysis and Research ,,,
109,Completed Project,Artisans on the Lawn ,\N,,,Students involved in this project worked with the Stevens County Historical Museum to help develop the 2006 Artisans on the Lawn even for Prairie Pioneer Days. ,,Completed,,,Community Support. Convening ,,,
110,Completed Project,Barn Again! Project,\N,,,"This project focused on assisting the Stevens County Historical Museum and PRCA in developing and coordinating multiple public events related to the then upcoming Smithsonian Institute instilation ""Barn Again!"" as well as helping to recruit help publicity and additional coordination. ",,Completed,,,Community Support ,,,
111,Completed Project,Barnes-Aastad Soil and Water Conservation Research Association,\N,,,This project catalogued historical documents for the Barnes-Aastad Soil and Water Conservation Research Association. The Barnes-Aastad Association is a stakeholder group for the USDA-Agricultural Research Service and the North Central Soil Conservation Research Laboratory in Morris. This project provided a formal organization and archiving of the lab’s early records. Thebault-Spieker used this information in a presentation to the Barnes-Aastad Association at their annual meeting.,,Completed,,,"Community Support, Data Analysis and Research",,,
112,Completed Project,Barnes-Aasted Research Assistant,\N,,,This project involved working with to assist with planning and coordinating activites of the Bares-Aasted Association's trip to D.C..,,Completed,,,Community Support ,,,
113,Completed Project,Becker Market Online Pre Ordering System,\N,,,The goal of this project was to assist the West Central Southwest Partnership and the Becker market in developing an online ordering system and to raise awareness of the online ordering system among the community through the creation of various marketing materials. ,Internal Sale,Completed,,,Community Support ,,,
114,Completed Project,Benson Business Profiles ,\N,,,This project involved assisting with publicity for Benson Businesses. ,,Completed,,,Community Support,,,
115,Completed Project,Benson Chamber of Commerce,\N,,,In 2004 the Center for Small Towns worked with the Benson Chamber of Commerce to develop and conduct a survey of Business owners. The goal of the survey was to help the Chamber better understand and respond to the business needs in the community.,,Completed,,,Data Analysis and Research ,http://digitalcommons.morris.umn.edu/cst/16/,,
116,Completed Project,Beyers Laundromat Assistant-Bio Mass Wood Stove Research,\N,,,The goal of this project was to work with the SCROC to research the Bio Mass wood stove at the Beyers Laundromat & Carwash.,,Completed,,,Data Analysis and Research,,,
117,Completed Project,Big Stone Writers School ,\N,,,The goal of this project was to develop a working interactive newsletter.,,Completed,,,Community Support,,,
118,Completed Project,Business Retention and Expansion Program ,\N,,,"The student involved in this project was to provide Data Analysis and Research  and research support for the U of M Extension ""Business Retention and Expansion Program"". ",,Completed,,,Data Analysis and Research,,,
119,Completed Project,Buy Fresh Buy Local,\N,,,This project involved gathering research contacting farmers updating databases attending meetings etc. ,,Completed,,,"Community Support, Data Analysis and Research ",,,
120,Completed Project,CAP Appleton Historical Booklet,\N,,,The goal of this project was to research the history of Appleton MN and to write a booklet on that history. ,,Completed,,,"Data Analysis and Research, Community Support ",,,
121,Completed Project,CAP Milan Movie Review,\N,,,As a part of this project the student involved helped to interview residents of Milan that were a partof the video restoration project. ,,Completed,,,"Data Analysis and Research, Community Support ",,,
122,Completed Project,Center for Small Towns Archive Organization,\N,,,This project involved working with the Center for Small towns to organize and create a database of all past CST Projects based on Jessica. ,,Completed,,,Internal,,,
123,Completed Project,CERP Task Force ,\N,,,An evaluation to examine the mission goals and scope of CERP at UMM,,,Completed,,,,,
124,Completed Project,Chokio Web Assistant,\N,,,The responsibilities involved in this project involved working with the city of Chokio City Clerk in the development of a website and welcome park. ,,Completed,,,"Data Analysis and Research, Community Support",,,
125,Completed Project,City of Morris Communication Assistant,\N,,,This project involved researching current and alternative communications methods being used for the City of Morris to connect with the public and individual citizens.,,Completed,,,Data Analysis and Research,,,
126,Completed Project,Concentrated Employment Program-Population Modeling,\N,,,This project worked with the Concentrated Employment Program committee of West Central MN to compile economic and employment data. From these data he created linear regression models to determine which variables were most correlated with populations of various age groups. The results from the research will be used to better advertise what rural communities have to offer to new-comers of different ages.,,Completed,,,Data Analysis and Research,,,
127,Completed Project,"""Look Whose Knockin'"" Performances in Western Minnesota",\N,,,"The goal of this project was to bring the play ""Look Whose Knockin'"" to southwestern Minnesota in order to enable rural southwestern Minnesotans and particularly rural senior citizens (landowners) to more easily connect with an artistic experience and to address the need for retiring landowners to connect with aspiring young conservation-oriented farmers needing access to land. ",Partnership,Completed,,,"Community Support, Convening ",,,
128,Completed Project,Big Stone Wind Project,\N,,,Create a working model of a community based wind farm. ,General Funds Partnership,Completed,,,"Community Support, Data Analysis and Research, Brokering",,,
129,Completed Project,Brain Gain ,\N,,,The Final report for a project intended to determine the in and out migration patterns in rural Minnesotan communities and what factors have influence over these patterns. ,General Funds,Completed,,,"Data Analysis and Research, Brokering ",,,
130,Completed Project,Browns Valley After School Program ,\N,,,Student responsibility in this project was to continue workign with the Browns Valley School to finish the SIS After School Program.     SIS Program: This is a part-time AmeriCorps program that offers scholarships (education vouchers) to college students who serve their community.  ,Partnership,Completed,,,Community Support,,,
131,Completed Project,Cyrus School Marketing Study ,\N,,,This project involved researching into the marketing for the school as well as drafting a marketing plan. ,,Completed,,,"Data Analysis and Research, Community Support ",,,
132,Completed Project,Campus Ecology Fellowship,\N,,,This project was aimed at planning and executing the Upper Midwest Associate Campus Sustainability conference and to improve the Green Ambassadors program. Other goals of this project included: calling potential registrants from past UMACS conferences and elicit them to register for this conference, Coordinate a bus on a green energy tour of Morris, organize wind walk to the Wind Turbine for the dedication ceremony, to assist in advertising the conference, Give Green Tours, Train new Green Amassadors to give tours and to update the Green Tour protocol. ,Environmental CST,,Stevens
133,Completed Project,Data Collection for YES! (Youth Enrichment Services),\N,,,This project focused on increasing broadband use in key hotspots around the community. ,,Completed,,,Data Analysis and Research,,,
134,Completed Project,Center for Small Towns Administrative and Publicity Assistant,\N,,,Responsibilities included Drafting CST publicity including news releases and news bites and drafting correspondence updating web site and facebook conducting interviews and writing student project profiles updating/ maintaining the CST mailing list archive CST materials and providing general office support. ,General Funds,Completed,,,Internal ,,(Jess-Check students),
135,Completed Project,Dreams for Kids,\N,,,This project involved publicity work website creation creation of a Facebook page creation of marketing materials (press releases flyers post cards and radio ads).,,Completed,,,Community Support ,,,
136,Completed Project,Central Square Performances (Glenwood),\N,,,A project that is part of the Student in Service Program in which students serve their communities,Jon Braegelman,,Completed,,,,,
137,Completed Project,Chippewa County Water Group,\N,,,This project involved conducting lake samples. ,General Funds Partnership ,Completed,,,Data Analysis and Research,,,
138,Completed Project,Eleah Auxiliary Publicity Assistant,\N,,,The goal of this project was to work with Eleah Auxiliary to work with the thrift store's web site newsletter and other promotional activites.,,Completed,,,Community Support,,,
139,Completed Project,Elementary School Property Assistant,\N,,,The focus of this project was working with CST staff to assist with activities around the old Elementary school property as well as PR materials evaluation and documentation. ,,Completed,,,Community Support,,,
140,Completed Project,Clean Energy Research Team ,\N,,,The students involved in this project performed regional agricultural energy use inventory assessed the biomass and biogas resources in area assisted with the development of community profiles for the region.,Partnership,Completed,,,Data Analysis and Research,,,
141,Completed Project,Clean Up the River Environment - River and History Days Festival,\N,,,CST worked with CURE and evaluator Doug Moon to develop and implement a survey instrument utilizd to measure attendees opinions and river knowledge at CURE's River and History weekend festival. This information was then integrated into an evaluation of CURE.,Bremer Grant,Completed,https://drive.google.com/a/morris.umn.edu/?usp=sheets_web#folders/0B14UrYEk1sV6OGJDZ1ljcC12NHM,,Data Analysis and Research,,,https://docs.google.com/a/morris.umn.edu/file/d/0B14UrYEk1sV6OXBmcWNCam1HOU0/edit
142,Completed Project,Clinton Depot Assistant,\N,,,"The goal of this project was to create and maintain website for the depot find grants and various 
funding attend and lead depot meetings take pictures plan volunteer 
opportunities plan depot day celebration  and to speak and spread education 
about the depot.",General Funds Partnership ,Completed,,,Community Support ,,,
143,Completed Project,Co-Ops Research Project,\N,,,The goal of this project is to research co-ops and how they can be used as economic development in rural areas as well as to assist with the Bremer Grant .,Grant,Completed,,,"Data Analysis and Research, Community Support",,,
144,Completed Project,Faculty Fellows Project(s),\N,,,,,Completed,,,,,,
145,Completed Project,Conceptualizing the University-Community Connection,\N,,,Final report for a project intended to develop and test a model of collaboration to connect University of Minnesota Extension Services programs with University of Minnesota resources focusing on building and strengthening the relationships between five colleges/ departments and Extension. ,Grant,Completed,,,"Data Analysis and Research, Convening, Brokering ",http://digitalcommons.morris.umn.edu/cst/14/,,
146,Completed Project,COPC Adopt a Grand Parent,\N,,,This project involved working with Community Service and Volunteerism to support student's engagement in service to the community through the Adopt-a-grandparent program with the COPC grant. Some students involved also assisted with publicity and presentations for the project. ,Grant,Completed,,,Community Support ,,,
147,Completed Project,COPC Design Assistant,\N,,,The student involved in this project was helping with researching grant info developing an action plan for organization designing displays monitor communication.,Grant,Completed,,,,,,
148,Completed Project,COPC Economic Development Team Assistant,\N,,,The responsibilities of this student included: minutes of monthly meetings entrepreneurial resource directory reading through economic development materials beneficial to the economic development team. ,Grant,Completed,,,Data Analysis and Research ,,,
149,Completed Project,Friendship Tour  -Clean Up the River Environment,\N,,,the goal of this project was to develop and Evaluate Friendship Tour. ,,Completed,,,Community Support ,,,
150,Completed Project,Garden Goddess Research (CSA's-CSC),\N,,,"This project involved researching methods for sustainable winter vegetable production; 
researching value-added options for Carol's greenhouse researching 
canning/freezing documenting research for a book/guide.",,Completed,,,Data Analysis and Research ,,,
151,Completed Project,Graceville Summer Reading Program,\N,,,The focus of this project was to work with the head of the Graceville Library to develop a youth reading program. ,,Completed,,,Community Support,,,
152,Completed Project,COPC GIS ,\N,,,The goalof this project was to work with the CST staff to develop the COPC GIS project. ,Grant,Completed,,,Data Analysis and Research ,,,
153,Completed Project,COPC Morris Development Partnership,\N,,,"The goal of this project was to work with the COPC grant to address the lack of coordination between 
citizens agencies and government in regad to housing economy 
demographics and opportunities for young people.",Grant,Completed,,,Community Support ,,,
154,Completed Project,COPC Publicity Assistant,\N,,,The responsibilities of this student included: publicity efforts among various COPC projects writing press releases designing flyers etc. ,Grant,Completed,,,Community Support ,,,
155,Completed Project,HEDA Website ,\N,,,This project involved web development for Glittertail. ,,Completed,,,Community Support,,,
156,Completed Project,A Health Care System in Critical Condition,\N,,,,,Completed,,,"Data Analysis and Research, Brokering",,,
157,Completed Project,Analysis of Rural MN Data Using Motion Charts and Geomaps,\N,,,This project/internship is focused on the graphical and numerical descriptive analysis of rural data analysis of trends in rural MN integration of statistical software including R and google Applications.,,Completed,,,Data Analysis and Research ,,,
158,Completed Project,Historical Museum-Native American Genealogy ,\N,,,The goal of this project was to conduct genealogical research of the Dakota people. ,,Completed,,,Data Analysis and Research,,,
159,Completed Project,Hoffman Economic Assistant,\N,,,The responsibilities of the student involved in this project included: grant writing researching and designing methods for implementing received grants community participation and office work.,,Completed,,,Community Support,,,
160,Completed Project,Hoffman Economic Development Authority-Assisted Living Researcher,\N,,,This project worked with Muriel Krusemark Hoffman’s Economic Development Director and the Hoffman Economic Development Authority (HEDA) to research the feasibility of establishing an assisted living facility and created a survey evaluating public interest in such a facility.,,Completed,,,Data Analysis and Research,,,
161,Completed Project,Auto-Populating Small Town Data Pilot,\N,,,"The student involved in this project worked with Statistics professor Engin Sungur to learn about and utilize the ""Shiny"" package in R with the ultimate goal of developing an auto-populating report about data from the City of Morris.",,Completed,,,Data Analysis and Research ,,,
162,Completed Project,COPC Student Administrative Assistant,\N,,,This student is to act as an administrative assistant and assist in administration and implimentation of grant activities as well as planning/coordinating activities. ,Grant,Completed,,,Community Support ,,,
163,Completed Project,Elementary School Reuse,\N,,,,Grant ,Completed,,,"Community Support, Data Analysis and Research, Brokering ",,,
164,Completed Project,Horticulture Summer Assistant,\N,,,The responsibilities of the student involved in this project included answering people's questions about horticulture. ,,Completed,,,Community Support,,,
165,Completed Project,Fergus Falls Art Crawl,\N,,,This project involved the research and organization of different promotional opportunities as well as surveying artists and compiling reports. ,Partnership ,Completed,,,"Community Support, Data Analysis and Research",,,
166,Completed Project,Finding Solutions and Redefining Communities ,\N,,,The 2010 symposium sought to engage the shared ingenuity and optimism of participants on issues of leadership capacity building and practical improvements for small communities in Minnesota. There was a diverse array of speakers and panelists including gubernatorial candidates the Minnesota State Director for USDA Rural Development a featured panel of success stories and a variety of breakout sessions to engage conversation amongst participants. The symposium attempted to strengthen rural-urban connections to create a thriving Minnesota for all.,General Funds,Completed,,,Convening Brokering ,,,
167,Completed Project,Kids Voting,\N,,,This project worked with the Kids Voting Project coordinating Election Day curricular presentation and University volunteers.,,Completed,,,Community Support,,,
168,Completed Project,GreenCorps ,\N,,,The goal of the student in this project is to provide education and outreach for stormwater issues and information. ,Grant,Completed,,,Community Support ,,,
169,Completed Project,21st Century Grant,\N,,,The goal of this project was for the student involved to interview coordinators of successful BR&E projects and to write a report .,Grant,Completed,,,"Data analysis and Research, Community Support",,,
170,Completed Project,Chamber Member Inventory-Benson Chamber of Commerce,\N,,,This project worked with the Benson Chamber of Commerce to update and recreate the organization’s website. Samantha Bruno assisted the Benson Chamber Manager Lacey Fahl in compiling a database of over 100 local businesses to post online. They hope to increase knowledge of what the city offers and what tourism opportunities are available in Benson.,External Sale,Completed,,,Community Support,,,
171,Completed Project,Changing Budgets of Small Towns ,\N,,,,,Completed,,,Data Analysis and Research,,,
172,Completed Project,"4 Townships Economic and Demographic Project
",\N,,,Statistics Professor Engin Sungur and student researcher Reid Ronnander collected all publicly available data relating to the four townships region and developed a comprehensive report. Phase two of the project included the development implementation and analysis of a survey that measured the economic and demographic information as well as development opinions of the region. This information also led to the development of a seasonal and permanent resident profile to help better explain the similarities and differences between the two types of populations. Lastly property tax information was gathered to assess how much the two types of residents were paying in taxes.,External Sale Gift Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6a3k4UGQ5bGFMRVE,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/63/,,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6a3k4UGQ5bGFMRVE/0B14UrYEk1sV6Rl9zd0hEYTlfVVU
173,Completed Project,Best Practices for Re-Purposed School Buildings Research,\N,,,This project involves conducting research on vacant and re-purposed schools in west central Minnesota. The students have developed an inventory of these structures within a 90 mile radius of Morris and are currently working with Athena Kildegaard (English Faculty) conducting interviews of community leaders heavily involved in the re-purposing efforts of these old school buildings. The purpose of this project is to gather information and stories to assist other communities in re-purposing efforts. The project is expected to be completed by May 2014.,General Funds,Completed,,,"Data Analysis and Research, Community Support ",,,
174,Completed Project,Hoffman Social Media Assistant,\N,,,The student responsibilities during this project were promoting businesses in downtown Hoffman and the Elk Lake Campground through social media and brochures/slideshows. ,Grant,Completed,,,Community Support ,,,
175,Completed Project,Bremer - Engin (Survey etc.),\N,,,The focus of this project was assisting Dr. Sungur with analysis of survey construction of online survey and other duties related to Faculty Fellows program. ,Grant,Completed,,,Data Analysis and Research ,,,
176,Completed Project,Local Foods Publicity,\N,,,The goal of this project was to help with publicity efforts specifically with local food initiatives. Duties included conducting interviews and taking photos. ,,Completed,,,Community Support,,,
177,Completed Project,Career Paths Project ,\N,,,This project involved assisting faculty with the implementation design and analysis of survey data related to career opportunities in West Central MN. ,Grant,Completed,,,Data Analysis and Research,,,
178,Completed Project,Center for Small Towns Office Assistant,\N,,,The responsibilities of the student in this 'project' include assisting with general office assignments program planning office coverage data entry filing errands and other assigned duties. ,General Funds,Completed,,,Internal,,,
179,Completed Project,MAP Quality of Life Survey ,\N,,,This project was intended to test and refine a survey instrument to measure quality of life outcomes. The students involved were to help with sending survey to sample cities collecting and enter responsesanalyze resultsprepareing written reports.,,Completed,,,Data Analysis and Research ,,,
180,Completed Project,Master Naturalist-Assistant ,\N,,,The responsibilities involved in this project included developing a nature guide about common MN plants and animals office work helping with registration and entry of class data. ,,Completed,,,"Data Analysis and Research, Community Support ",,,
181,Completed Project,Media Messages of Rural,\N,,,The goal of the Media Messages of Rural project was to examine the manner in which the metropolitan area media covers and reports events that occur in rural areas to the residents of Minnesota and to gain a sense of how urban Minnesota media portrays the events and priorities of rural Minnesota. The focuses of the study were the St. Paul Pioneer Press and the Minneapolis Star Tribune. Articles from these sources were examined to locate evidence for the study. Information recorded from each article included: Location of reported community topic of the story environment of the rural area and the historical context of the definition.,,Completed,,,"Community Support, Data Analysis and Research ",http://digitalcommons.morris.umn.edu/cst/8/,,
182,Completed Project,MES Leadership Program Survey,\N,,,Completed in May of 2004 the MES Leadership Program Survey report analyzizes the outcomes associated with the program which is offered by the University of Minnesota Extension Services. A pre- and post- surveys was also administered to participants. This report examined the survey responses using a multivariate factor analysis to determine Summary results underlying themes programmatic differences and methods for reducing the need for future data collection.,,Completed,,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/9/,,
183,Completed Project,Milan Energy ,\N,,,,,Completed,,,Data Analysis and Research ,,,
184,Completed Project,Milan Oral History,\N,,,,,Completed,,,,,,
185,Completed Project,Milan Senior Care,\N,,,In 2004 the Center for Small Towns worked with the City of Milan and the Community Assistantship program through the Center for Urban and Regional Affairs to research the level of need/demand for bringing a senior care facilty to the city of Milan MNas well as to provide recommendations about future developments.,,Completed,,,"Data Analysis and Research, Community Support",http://digitalcommons.morris.umn.edu/cst/2/,,
186,Completed Project,Milan Video Preservation,\N,,,"The goal of this project was to work with staff to preserve existing films/videos and establish archival
 procedures and process the films taken by one of the City of Milan's 
residents for the past 60 years.",,Completed,,,"Community Support, Data Analysis and Research",,,
187,Completed Project,Center for Small Towns Website Usability Study,\N,,,During this project a student worked with Kristin Lamberty to work on research reviewing existing literature on website usability studies and methods analyzed and interpreted data collected and designed a functional study template to be used in conducting usability studies as well as preparing a final written report. The survey template produced was made to be accessible to small businesses iin an affordable and time-efficient manner. ,Grant,Completed,,,"Internal, Data Analysis and Research, Brokering",,,
188,Completed Project,Mille Lacs Band of Ojibwe Economic and Demographic Information,\N,,,,External Sale,Completed,,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/15/,,
189,Completed Project,Minnesota Pollution Control Agency Assistant,\N,,,The responsibilities of this student included assisting with the Kiwanis Talent show Morris Relay for Life and Stevens county Hazardous Waste Collection. ,,Completed,,,Community Support,,,
190,Completed Project,Minnesota Tax Project (DAR),\N,,,This project involved updating EITC forms and sending them as well as data entry  on EITC returned tax forms. ,,Completed,,,Data Analysis and Research,,,
191,Completed Project,Civil Engagement-Statistics,\N,,,This project focused on working with the statistics classes to learn how to write stats in descriptive sentences.,,Completed,,,Data Analysis and Research,,,
192,Completed Project,Chippewa River Watershed Intern,\N,,,"worked directly with the Chippewa River Watershed Project to conduct the annual summer data collection.  Tasks included doing longitudinal transects (basic water testing at sites throughout the watershed) and assistance with collecting macro invertebrates, pesticide samples, and other water samples for submission to state laboratories. ",Grant,Completed,,,Community Support,,,
193,Completed Project,Clean Energy Research ,\N,,,The goal of this project was to perform an energy inventory of the region including current enery use opportunities for conservation renewable activites of the region and local renewable energy. ,,Completed,,,Data Analysis and Research,,,
194,Completed Project,Mississippi River Renaissance Assistant,\N,,,This project involved assisting with publicity materials and helping to develop a landowner registry.,,Completed,,,"Community Support, Data Analysis and Research ",,,
195,Completed Project,Coding and Data Entry Intern,\N,,,,,Completed,,,"Data Analysis and Research, Internal ",,,
196,Completed Project,"Leveraging Resources to Improve Schools and Communities
",\N,,,The 2007 symposium focused on the relationships between rural communities and schools and identifying the resources needed during challenging times. The relationship between schools and rural communities has always been an important one and the symposium endeavored to better understand discuss and analyze that relationship. Participants were encouraged to consider the ways that we learn how the roles and structure of learning institutions are changing and how schools can help communities while still meeting their academic missions. The symposium highlighted a number of keynote speakers and engaged a wide variety of participants.,General Funds,Completed,,,Convening,,,
197,Completed Project,Morris Area Farmers' Market,\N,,,The goal of this project was to help with the PR of the partnership activities and to work with Morris Healthy Eating and Buy Fresh Local Campaign. ,,Completed,,,Community Support,,,
198,Completed Project,Morris Area School YES,\N,,,The focus of this project was to help plan and coordinate environmental projects with Morris Area Schools students.,,Completed,,,Community Support,,,
199,Completed Project,Morris Chamber Assistant,\N,,,The goal of this project was to make a customized Google map of the City of Morris for the Chamber of Commerce.,,Completed,,,Community Support,,,
200,Completed Project,Living Green Outreach: Local Food System Specialist,\N,,,This project's goal (and the responsibility of the student involved) was to focus on providing community-based outreach education and assistnace to residents and businesses through campaigns presentations events workshops and social media. Encourage the production and consumption of locally grown foods through implementation and improvement to farmer's markets community gardens farm-to-school programs and community education on local foods initiatives,Grant,Completed,,,"Community Support, Convening ",,,
201,Completed Project,Morris Chamber of Commerce Assistant,\N,,,This project worked with the Morris Chamber of Commerce to assist in a variety of activities to help bridge the campus and community.,,Completed,,,Community Support,,,
202,Completed Project,Morris Chamber Survey,\N,,,,,Completed,,,Data Analysis and Research,,,
203,Completed Project,Morris City Hall,\N,,,This project involved data entry of city tree types bill research and a budget update. ,,Completed,,,Data Analysis and Research,,,
204,Completed Project,Morris Elementary Service Learning Coordinator Assistant,\N,,,This project involved working with the community education office at Morris Elementary working with service learning coordinator working on the Histroy Video Project and Well Testing Project,,Completed,,,Community Support ,,,
205,Completed Project,City of Morris Data Profiles,\N,,,"As a part of this project the student involved assisted the Data Services Center and CST in collecting analyzing and preparing report for the City of Morris Project as well as helping with other projects and assisting the data services center with the collection and sorting of data. 
",Partnership,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6dERxNzZCdGFvcHc,,Data Analysis and Research, Carter Award.,,
206,Completed Project,Civic Engagement Workbook for Statistics ,\N,,,The objective of this project was for the student(s) involved to assist with civic engagement for stats project review student submissions and edit for content upload.,General Funds,Completed,,,Data Analysis and Research, 284 students involved ,,
207,Completed Project,Milk Producers Family Survey,\N,,,The final report of a survey intended to help understand the roles employees have in their operation and by doing so better support the labor force needs of the dairy industries. ,Partnership,Completed,,,Data Analysis and Research,(x)2009.MMPA final report draft. pdf,,
208,Completed Project,Morris Park Board GIS,\N,,,"The goal of this project was to identify and locate various assest within Pomme de Terre Park. Each item
 such as camping locations restrooms etc. Described using Arc Map 
electionc mapping software",,Completed,,,Community Support,,,
209,Completed Project,Minnesota Waters,\N,,,This project involved contacting lake/river/watershed associations and county officials to create a database of updated contact information about Minnesota's Water-related associations for non-profit organization MN Waters. ,General Funds Partnership ,Completed,,,Community Support ,,,
210,Completed Project,Morris School District Service Learning Assistant,\N,,,The goal of this project was to assist Morris School District to develop/create Service Learning Newsletter brochure pictures meeting minutes assist in planning and organizing activities.,,Completed,,,Community Support,,,
211,Completed Project,Morris Theatre Manual Project,\N,,,The goal of this project was to create a manual for operations of the Morris Theatre.,,Completed,,,Community Support,,,
